measure,accuracy,ci_low,ci_high,people,pairs
degree,0.6658380112,0.5900680104,0.7337094802,129,6235
in_strength,0.6229350441,0.5544837126,0.6877727323,129,6235
out_strength,0.5290296712,0.4469212302,0.6010257815,129,6235
pagerank,0.6288692863,0.5569818803,0.7009893216,129,6235
betweenness,0.5829190056,0.5050624258,0.6563851751,129,6235
mention_degree,0.7336006415,0.6654625376,0.7955004008,129,6235
mentioned_to,0.6943063352,0.6201179666,0.7571453521,129,6235
third_party_mentioned_to,0.6951884523,0.6202906148,0.7587518151,129,6235
mention_degree_unfiltered,0.7309542903,0.6644504847,0.7913230100,129,6235
mentioned_to_unfiltered,0.7046511628,0.6308405157,0.7661559604,129,6235
