measure,pairs_type,pairs,accuracy,ci_low,ci_high,draws
degree,all,7338,0.8955437449,0.8253946684,0.9379490926,1000
degree,core,169,0.9053254438,0.6874693627,0.9749235893,1000
degree,inter,2591,0.9546507140,0.8443367910,0.9827797299,1000
degree,non-core,4578,0.8617300131,0.7707637393,0.9174373556,1000
in_strength,all,7338,0.8881166530,0.8248838109,0.9311817388,1000
in_strength,core,169,0.7278106509,0.4772261550,0.9047705944,1000
in_strength,inter,2591,0.9513701274,0.8203359141,0.9822082576,1000
in_strength,non-core,4578,0.8582350371,0.7678241063,0.9139653172,1000
out_strength,all,7338,0.7567457073,0.6757754650,0.8306273993,1000
out_strength,core,169,0.6094674556,0.2500000000,0.8826557002,1000
out_strength,inter,2591,0.8959861058,0.7768613213,0.9572048555,1000
out_strength,non-core,4578,0.6833770205,0.5887685740,0.7530711239,1000
pagerank,all,7338,0.9170073590,0.8588346758,0.9512566141,1000
pagerank,core,169,0.8224852071,0.5754593810,0.9194385217,1000
pagerank,inter,2591,0.9575453493,0.8430600649,0.9842611605,1000
pagerank,non-core,4578,0.8975535168,0.8200527919,0.9413737554,1000
betweenness,all,7338,0.7897247206,0.6738405428,0.8738622326,1000
betweenness,core,169,0.7692307692,0.4235180995,0.9167138009,1000
betweenness,inter,2591,0.9478965650,0.8094485495,0.9803586541,1000
betweenness,non-core,4578,0.7009611184,0.5724293282,0.8211239355,1000
mention_degree,all,7338,0.9045380213,0.8341104217,0.9469747610,1000
mention_degree,core,169,0.8934911243,0.6470113852,0.9693507504,1000
mention_degree,inter,2591,0.9542647626,0.8243304971,0.9848234966,1000
mention_degree,non-core,4578,0.8768020970,0.7854625729,0.9343995212,1000
mentioned_to,all,7338,0.9219814663,0.8691120184,0.9519894423,1000
mentioned_to,core,169,0.8402366864,0.6415780347,0.9589446647,1000
mentioned_to,inter,2591,0.9579313007,0.8502195064,0.9846243175,1000
mentioned_to,non-core,4578,0.9046526868,0.8354151429,0.9468283917,1000
third_party_mentioned_to,all,7338,0.9204142818,0.8713751244,0.9489299945,1000
third_party_mentioned_to,core,169,0.8106508876,0.5961050725,0.9484000471,1000
third_party_mentioned_to,inter,2591,0.9523350058,0.8400136054,0.9800240060,1000
third_party_mentioned_to,non-core,4578,0.9064001747,0.8388954627,0.9474218267,1000
custodian,all,7338,0.6559689289,0.5345319338,0.7722765449,1000
custodian,core,169,0.5000000000,0.5000000000,0.5000000000,1000
custodian,inter,2591,0.9417213431,0.7765615128,0.9821280573,1000
custodian,non-core,4578,0.5000000000,0.5000000000,0.5000000000,1000
