measure,versus,difference,ci_low,ci_high
mention_degree,degree,0.0677626303,0.0278963193,0.1118898971
mention_degree,in_strength,0.1106655974,0.0546619575,0.1649957225
mention_degree,out_strength,0.2045709703,0.1411791222,0.2749121069
mention_degree,pagerank,0.1047313553,0.0462316057,0.1633735285
mention_degree,betweenness,0.1506816359,0.0929769900,0.2086728448
mention_degree,mentioned_to,0.0392943063,0.0151834494,0.0677689752
mention_degree,third_party_mentioned_to,0.0384121893,0.0096071756,0.0691184228
mention_degree,mention_degree_unfiltered,0.0026463512,-0.0127708225,0.0154610900
mention_degree,mentioned_to_unfiltered,0.0289494787,0.0062731509,0.0556086363
mentioned_to,degree,0.0284683240,-0.0094276321,0.0684529275
