variant,measure,accuracy,ci_low,ci_high,people,pairs
main,degree,0.6658380112,0.5902409830,0.7337094802,129,6235
main,in_strength,0.6227746592,0.5544837126,0.6874381981,129,6235
main,out_strength,0.5290296712,0.4469212302,0.6010257815,129,6235
main,pagerank,0.6288692863,0.5569818803,0.7009893216,129,6235
main,betweenness,0.5829190056,0.5050624258,0.6563851751,129,6235
main,mention_degree,0.7305533280,0.6629042145,0.7910986376,129,6235
main,mentioned_to,0.7043303929,0.6308681251,0.7658651818,129,6235
main,third_party_mentioned_to,0.6958299920,0.6208998340,0.7587385392,129,6235
disputed labels removed,degree,0.6769243957,0.6014560512,0.7470436225,125,5833
disputed labels removed,in_strength,0.6315789474,0.5570549757,0.6999244158,125,5833
disputed labels removed,out_strength,0.5332590434,0.4501496931,0.6071152863,125,5833
disputed labels removed,pagerank,0.6375792902,0.5551337151,0.7098584225,125,5833
disputed labels removed,betweenness,0.5869192525,0.5087908364,0.6602370745,125,5833
disputed labels removed,mention_degree,0.7438710783,0.6763445597,0.8102762735,125,5833
disputed labels removed,mentioned_to,0.7173838505,0.6442625673,0.7866997450,125,5833
disputed labels removed,third_party_mentioned_to,0.7079547403,0.6314150767,0.7769431065,125,5833
conflicting rows kept at higher title,degree,0.6612569610,0.5842272621,0.7298359238,129,6285
conflicting rows kept at higher title,in_strength,0.6151153540,0.5427786903,0.6791709522,129,6285
conflicting rows kept at higher title,out_strength,0.5240254574,0.4438232376,0.5964849068,129,6285
conflicting rows kept at higher title,pagerank,0.6260938743,0.5538806856,0.6986726604,129,6285
conflicting rows kept at higher title,betweenness,0.5744630072,0.4958156765,0.6462091066,129,6285
conflicting rows kept at higher title,mention_degree,0.7277645187,0.6578540249,0.7889213190,129,6285
conflicting rows kept at higher title,mentioned_to,0.7079554495,0.6369357721,0.7689719245,129,6285
conflicting rows kept at higher title,third_party_mentioned_to,0.6960222753,0.6225492834,0.7582264794,129,6285
CEO and President removed,degree,0.6161683489,0.5352087157,0.6936566497,121,5251
CEO and President removed,in_strength,0.5892211007,0.5162682970,0.6663571253,121,5251
CEO and President removed,out_strength,0.5102837555,0.4284982040,0.5880073474,121,5251
CEO and President removed,pagerank,0.5817939440,0.5012645774,0.6591089000,121,5251
CEO and President removed,betweenness,0.5386593030,0.4540980620,0.6237199853,121,5251
CEO and President removed,mention_degree,0.6859645782,0.6083177086,0.7610941049,121,5251
CEO and President removed,mentioned_to,0.6659683870,0.5872498769,0.7413477366,121,5251
CEO and President removed,third_party_mentioned_to,0.6582555704,0.5782053088,0.7340861372,121,5251
messages with at most 10 recipients,degree,0.6385725742,0.5657151453,0.7050012947,129,6235
messages with at most 10 recipients,in_strength,0.6166800321,0.5455692581,0.6814838580,129,6235
messages with at most 10 recipients,out_strength,0.5301523657,0.4471148028,0.6009177751,129,6235
messages with at most 10 recipients,pagerank,0.6208500401,0.5470997211,0.6942173074,129,6235
messages with at most 50 recipients,degree,0.6642341620,0.5909009329,0.7255694431,129,6235
messages with at most 50 recipients,in_strength,0.6216519647,0.5531916099,0.6863863284,129,6235
messages with at most 50 recipients,out_strength,0.5296712109,0.4470696300,0.6003109598,129,6235
messages with at most 50 recipients,pagerank,0.6287089014,0.5563470508,0.7009852198,129,6235
people-only graph,degree,0.6825180433,0.6111284331,0.7470912436,129,6235
people-only graph,in_strength,0.6238973536,0.5550581235,0.6895083303,129,6235
people-only graph,out_strength,0.5337610265,0.4515224187,0.6065605301,129,6235
people-only graph,pagerank,0.6261427426,0.5538133841,0.6969586027,129,6235
