measure,versus,pairs_type,difference,ci_low,ci_high,draws
in_strength,degree,all,-0.0074270919,-0.0238140159,0.0144578150,1000
in_strength,degree,core,-0.1775147929,-0.3920214286,0.0000000000,1000
in_strength,degree,inter,-0.0032805866,-0.0355236530,0.0167085589,1000
in_strength,degree,non-core,-0.0034949760,-0.0284712153,0.0247122940,1000
out_strength,degree,all,-0.1387980376,-0.1934598171,-0.0768121828,1000
out_strength,degree,core,-0.2958579882,-0.6608048202,-0.0200500114,1000
out_strength,degree,inter,-0.0586646083,-0.1202350089,0.0097673860,1000
out_strength,degree,non-core,-0.1783529926,-0.2292339102,-0.1120122056,1000
pagerank,degree,all,0.0214636141,0.0048005798,0.0473154422,1000
pagerank,degree,core,-0.0828402367,-0.2000000000,0.0000000000,1000
pagerank,degree,inter,0.0028946353,-0.0170051602,0.0234692535,1000
pagerank,degree,non-core,0.0358235037,0.0117133600,0.0696790784,1000
betweenness,degree,all,-0.1058190243,-0.1767505360,-0.0516873213,1000
betweenness,degree,core,-0.1360946746,-0.3354643963,-0.0230656109,1000
betweenness,degree,inter,-0.0067541490,-0.0454605835,0.0141921473,1000
betweenness,degree,non-core,-0.1607688947,-0.2505180309,-0.0796891583,1000
mention_degree,degree,all,0.0089942764,-0.0104318094,0.0278328964,1000
mention_degree,degree,core,-0.0118343195,-0.1061434659,0.0674293662,1000
mention_degree,degree,inter,-0.0003859514,-0.0345296318,0.0249205863,1000
mention_degree,degree,non-core,0.0150720839,-0.0098984904,0.0421778858,1000
mentioned_to,degree,all,0.0264377214,0.0073553629,0.0546840172,1000
mentioned_to,degree,core,-0.0650887574,-0.2272956071,0.0721528135,1000
mentioned_to,degree,inter,0.0032805866,-0.0133199731,0.0249695693,1000
mentioned_to,degree,non-core,0.0429226737,0.0188385738,0.0806422349,1000
third_party_mentioned_to,degree,all,0.0248705369,0.0043507642,0.0557805782,1000
third_party_mentioned_to,degree,core,-0.0946745562,-0.2857435597,0.0468811355,1000
third_party_mentioned_to,degree,inter,-0.0023157082,-0.0223723470,0.0205684929,1000
third_party_mentioned_to,degree,non-core,0.0446701616,0.0188488711,0.0834192235,1000
custodian,degree,all,-0.2395748160,-0.3417977469,-0.1364678784,1000
custodian,degree,core,-0.4053254438,-0.4749235893,-0.1874693627,1000
custodian,degree,inter,-0.0129293709,-0.0833369565,0.0166805291,1000
custodian,degree,non-core,-0.3617300131,-0.4174373556,-0.2707637393,1000
