variant,measure,pairs_type,pairs,accuracy,ci_low,ci_high,draws
"all pairs, unmatched employees scored 0",degree,all,13241,0.8614530625,0.7619145920,0.9351682948,1000.0000000000
"all pairs, unmatched employees scored 0",degree,core,487,0.8696098563,0.7552511302,0.9403618421,1000.0000000000
"all pairs, unmatched employees scored 0",degree,inter,5633,0.9325403870,0.8323775521,0.9763236173,1000.0000000000
"all pairs, unmatched employees scored 0",degree,non-core,7121,0.8046622665,0.6783437442,0.9036339764,1000.0000000000
"all pairs, unmatched employees scored 0",in_strength,all,13241,0.8377010800,0.7265834585,0.9223958013,1000.0000000000
"all pairs, unmatched employees scored 0",in_strength,core,487,0.7114989733,0.6023975410,0.8339955605,1000.0000000000
"all pairs, unmatched employees scored 0",in_strength,inter,5633,0.9233090715,0.8075033759,0.9721674512,1000.0000000000
"all pairs, unmatched employees scored 0",in_strength,non-core,7121,0.7786125544,0.6364246887,0.8991072545,1000.0000000000
"all pairs, unmatched employees scored 0",out_strength,all,13241,0.7197341591,0.5945713002,0.8340498984,1000.0000000000
"all pairs, unmatched employees scored 0",out_strength,core,487,0.5759753593,0.3625990475,0.8163877997,1000.0000000000
"all pairs, unmatched employees scored 0",out_strength,inter,5633,0.8770637316,0.7455672379,0.9467435764,1000.0000000000
"all pairs, unmatched employees scored 0",out_strength,non-core,7121,0.6051116416,0.4520563260,0.7433337623,1000.0000000000
"all pairs, unmatched employees scored 0",pagerank,all,13241,0.8657578733,0.7624056583,0.9438577354,1000.0000000000
"all pairs, unmatched employees scored 0",pagerank,core,487,0.7977412731,0.6525451807,0.8927120676,1000.0000000000
"all pairs, unmatched employees scored 0",pagerank,inter,5633,0.9311201846,0.8235388108,0.9779937874,1000.0000000000
"all pairs, unmatched employees scored 0",pagerank,non-core,7121,0.8187052380,0.6867869873,0.9269158758,1000.0000000000
"all pairs, unmatched employees scored 0",betweenness,all,13241,0.7724114493,0.6463027063,0.8756732857,1000.0000000000
